"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","Uniprot"
"ENSG00000152583",954.770931565544,4.3683589601397,0.237136475969048,18.4212864861409,8.86707943975586e-76,1.34291918115102e-71,"SPARCL1","A0A024RDE1"
"ENSG00000179094",743.252688449073,2.86388846357856,0.175558247951495,16.3130385327713,7.97262131990686e-60,6.03726749449947e-56,"PER1","O15534"
"ENSG00000116584",2277.91345410747,-1.03469996009244,0.0650527327726436,-15.9055571686538,5.79851304839014e-57,2.92728267059562e-53,"ARHGEF2","Q92974"
"ENSG00000189221",2383.75370672631,3.34154414769681,0.212415079829427,15.7312002065962,9.24420638048597e-56,3.5000876408115e-52,"MAOA","P21397"
"ENSG00000120129",3440.70375496308,2.96521084247013,0.203702766040932,14.5565565951829,5.30641629663395e-48,1.60731349625042e-44,"DUSP1","B4DU40"
"ENSG00000148175",13493.9203682606,1.42716831224683,0.100366629939453,14.2195499949315,6.9297110756557e-46,1.74917457068009e-42,"STOM","F8VSL7"
"ENSG00000178695",2685.40973562001,-2.48906888705325,0.17806407208049,-13.9785014347427,2.10881706480814e-44,4.56257634950276e-41,"KCTD12","A0A140VJM4"
"ENSG00000109906",439.541520915421,5.92759504591324,0.428194415124057,13.8432329720972,1.39775824772459e-43,2.64613108272361e-40,"ZBTB16","A0A024R3C6"
"ENSG00000134686",2933.64246142684,1.43948979386212,0.10582729403687,13.6022545692287,3.8827694909925e-42,6.53383821567571e-39,"PHC2","A0A0A0MSI2"
"ENSG00000101347",14134.9917673153,3.85041430472507,0.284907007918232,13.5146352940189,1.2818939115153e-41,1.94142832898992e-38,"SAMHD1","Q59H15"
"ENSG00000096060",2630.23049426017,3.94505236260229,0.292918209184271,13.4681021490218,2.4098069241783e-41,3.31786598788003e-38,"FKBP5","Q13451"
"ENSG00000166741",7542.25286980186,2.21959059968604,0.166735440882856,13.3120504431057,1.97000025235454e-40,2.48630448515912e-37,"NNMT","P40261"
"ENSG00000125148",3695.87946177106,2.19856358442965,0.167005463033601,13.1646207524799,1.40240044201427e-39,1.63379651494663e-36,"MT2A","P02795"
"ENSG00000162614",5646.18313812309,1.97114015620688,0.150206309645738,13.122885189416,2.43485420341552e-39,2.63399049362343e-36,"NEXN","B4DDI0"
"ENSG00000106976",989.046833637733,-1.85017129092678,0.147786569866596,-12.5192112693115,5.86147079497183e-36,5.91813167932323e-33,"DNM1","Q05193"
"ENSG00000187193",199.07693798836,3.25514240670261,0.260907114094853,12.4762500938139,1.00614633190564e-35,9.52380387294434e-33,"MT1X","A0A140VJP8"
"ENSG00000256235",1123.47954131474,1.28011925479446,0.105474383002714,12.1367787926431,6.74286158103823e-34,6.007096390872e-31,"SMIM3","Q9BZL3"
"ENSG00000177666",2639.57019969705,1.13999472385164,0.0960688393667069,11.8664358949954,1.76842181879032e-32,1.48793046919886e-29,"PNPLA2","Q96AD5"
